title,genres,description
BrainBread 2,"Action, Adventure, Indie, Free To Play","CyberCon, the notorious global corporation, aspired to deliver to the world something that would change the fate of humanity. What the world wasn't ready for however... Was CyberCon's true intentions. Their schemes had been controversial to most before, but their newest idea seemed almost too perfect. A much sinister secret was about to be exposed. CyberCon's project involved the development of neuro-hub chips. They succeeded and became a phenomenon, later becoming a mandatory law to have them implanted at birth using state of the art surgery and cutting edge technology. CyberCon were granted this permission from the government. The controversy was covered up and very little was known how it was done. The technology was seen by many around the world as a major breakthrough that could cure blindness, deafness, disease, and a huge boost in performance for modern day life. It was further aiding as a gateway to easier communication and enhanced capabilities. This was the next milestone in human history. However, good things must always come to an end. And CyberCon's true colors are yet to be revealed. Features 5 Unique gamemodes. Over 20 unique weapons, including akimbo weapons! Extreme amounts of gore & gibbing, this is your lovely grindhouse-gore movie! Over 100 unique skill combinations. A global profile system/leveling system. Play as a zombie, evolve as a zombie using your special zombie skill tree to your advantage! Modding friendly, customize your own soundsets for any of the npcs, make your own player survivor models, make custom maps, share your creations via Workshop! Character customization. No pay to win! Simple UI and HUD. AI Soldiers, Tanks and Bandits/Mercenaries. A powerful quest, objective & inventory system. Playable on PC, Mac OSX, and Linux with multiplayer cross-compatibility. Dedicated Server Support for PC and Linux. Gamemodes Story Focuses on story based gameplay, progress by doing specific quests or side-quests to increase your chance of survival! Objective Focuses on small & simple objectives, this is a casual/chill gamemode based on the original BrainBread, if you want a pure BrainBread experience you can enable a server command to force it to vanilla BrainBread mode. In this mode you can also play as a zombie and as a human you can get infected. The zombie's objective is to prevent the humans from progressing, when you get a certain amount of kills you will be able to respawn as a human again, or if you die too many times. All of this can be regulated by the server owner. Arena This is a wave based gamemode, similar to 'Survival'. You have limited respawns and when you die you'll respawn after X amount of seconds. Everyone respawns at the same time, certain maps may allow certain amount of retries for a wave, if you fail too many times you have to do everything over again. This mode is very action-packed, you better be flexible. Elimination A Humans VS Zombies gamemode, first team to reach the fraglimit wins! In this mode you respawn individually, however if everyone on your team is dead your team will be 'Exterminated', which means the round is over. The opposite team gains a certain amount of points by exterminating the other team, this is an effective way to gain points but it is hard to achieve if there's many players. In this mode you'll also trigger a team perk if your team gets a certain amount of kills, your team will be blessed with some helpful skill for a certain amount of seconds. Deathmatch A PvP gamemode, solely for humans. Featuring classic old-school powerups, increased speed and flexibility! As well as an announcer which will try to salute you or make fun of you if you fail too much!"
Saving Grace,"Action, Adventure, Indie, Strategy","What would it be like if some masked men took your daughter? What would you do? Would you meet their demands... Or suffer the loss. The choice is yours. Undertake this journey to get your daughter back... She's counting on you. Everyone is counting on you. Hell is real. If you do not stop this catastrophe, everyone you know, everyone you love will be damned. It rests on your shoulders. Will you bear the weight? or live in eternal pain as hell ascends to earth. Solve puzzles. Explore vast sandbox levels. Story driven. Full Keyboard/Mouse and Xbox controller support. Uncover the mysteries surrounding your family. Use your wits to slay evil with an array of arsenal. Uncover the dark truth to why your daughter was chosen. Face off against the embodiment of evil and punishment himself... The devil incarnate."
The Planet Crafter,Adventure,"Embark on a chill experience alone or with up to 10+ friends in online co-op. Your mission is to survive on a hostile planet and turn a barren land into a lush paradize. Terraforming is the only way! You are sent on a hostile planet with one mission: Make it habitable for Humans. You'll have to survive, collect resources, build your base, produce machines to heat the planet, create an oxygen-rich atmosphere and eventually geo-engineer an entire planet! Gather minerals and resources to survive. Craft all the tools you need to fulfill your mission. Explore old shipwrecks and ruins and discover a planet full of mysteries! You'll need a base and all sorts of machines to make yourself at home, and be able to bring life to this planet! Progress through building tiers to upgrade and expand your base and explore the planet further. See life forms appear on the planet as you terraform it by increasing heat, oxygen and pressure. Witness the first signs of life with moss and insects and unleash the planet's full potential with thick forests and animals. From chill to hardcore, choose the difficulty level that suits you. Play with starting presets to create new games and experience endless possibilities. Multiplayer: survive by yourself or with friends (1-10+ online co-op) Survival: Thirst, Oxygen, Temperature and Health mechanics Base Building: shelter from a hostile environment and expand your exploration Crafting: equipment, tools and food to help you survive Terraformation: turn an entire hostile planet to a habitable paradise! Build machines to create atmospheric pressure and heat the planet Create a biosphere with breathable oxygen See your environment change as your terraformation progresses Creatures: create life by decrypting and mixing DNA extracts and make your own animals Procedurally generated shipwrecks: explore and find infinite rare loot Chill experience with no violence: the only enemy you'll have to fight is the hostile environment Adjustable difficulty to fit your level Adjustable presets for renewed experiences through time Creative mode"
Trailmakers,"Action, Adventure, Indie, Racing, Simulation","Trailmakers is a play-as-you-like vehicle building game with reliable physics, controlled chaos, land, sea, and air combat . Jump straight into the open-world Pioneers campaign where you complete missions, craft blocks and fight BOTNAKs. If you just want to play around with a plethora of different blocks, there are five dedicated sandbox maps that will let you tinker with vehicles in space, water, and ground. Sandbox gives you fun challenges, creative freedom, and high speed driving and flying. Use the integrated workshop to download other people’s creations and have addictingly fun skirmishes with up to seven friends in multiplayer. BUILD EVERYTHING The intricate yet intuitive building mechanic allows you to either choose pre-made vehicles from the game and the community workshop or build your own vehicles completely from scratch using hundreds of blocks that affect both aerodynamics, functionality, speed, combat ability, and much more in a world ruled by reliable physics. Customize your character and block designs with a heap of different skins, colors, and pattern combinations to create your own personal brand. The builder is made to be as accessible and intuitive as possible for players who are new to building games while also equipped with features for the more hardcore segment of engineers: Easy to learn, hard to master! COMBAT Trailmakers offers an arsenal of 14 different weapons like minigun, EMPs, laser blasters, rocket launchers and shotguns to name a few. Set up a server with your friends or join one of the hundreds of public games to test them out in different PvP scenarios. Fight in the air, ocean, ground, or in space. Your choice of mayhem is entirely up to you. MULTIPLAYER All game modes in Trailmakers, including the main story, allow Multiplayer for 2-8 people. Jump into one of the five dedicated sandbox maps, hang out and build together, test each other's vehicles, or share and be inspired from thousands of incredible community made workshop builds. Controlled chaos, land, sea, air, and space combat awaits you and your friends - or jump into Race Island where 14 different tracks are ready for you to put your name on the leaderboards. This is the ultimate do-whatever-your-heart-desires game. CAMPAIGN In the main game mode, “Pioneers” you will dive head-first into a breathtaking open world with loveable NPCs, challenging enemies, and an adventurous story. Unlock new parts as you complete missions and build different vehicles for the different biomes and terrains - play the campaign alone or multiplayer. You will join the Trailmakers: An elite society of engineers and are sent out to help the population of Gregory - a community of peaceful frogs who have been invaded by the evil BOTNAKs who are ruthlessly mining the planet and stealing its resources."
DREDGE,"Adventure, RPG","OUT NOW: THE IRON RIG DLC The Iron Rig is the second official expansion for DREDGE - a cosmic horror fishing adventure with a sinister undercurrent. This content adds a new constructable destination with its own story, items and adversities that can be experienced at any stage in your playthrough About the Game Captain your fishing trawler to explore a collection of remote isles, and their surrounding depths, to see what lies below. Sell your catch to the locals and complete quests to learn more about each area’s troubled past. Outfit your boat with better equipment to trawl deep-sea trenches and navigate to far-off lands, but keep an eye on the time. You might not like what finds you in the dark... Explore the Islands & Discover their Secrets Starting from your new home in the remote archipelago, ‘The Marrows’, take to the water and scour the depths for curious collectables and over 125 deep sea denizens. Explore each area while completing quests and visiting neighbouring island regions – each with their own unique opportunities, inhabitants, and secrets. Dredge the Depths Someone wants you to dig up the past, but can you trust them and will it ever be enough? Beware the Fog Danger is everywhere, so watch for sharp rocks and shallow reefs, though the biggest threats of all lurk within the fog that cloaks the night-time seas... Game Features: Unravel a Mystery: Captain your fishing trawler across a collection of remote islands, each with its own inhabitants to meet, wildlife to discover, and stories to unearth. Dredge the Depths: Scour the sea for hidden treasures and complete quests to gain access to strange new abilities Study Your Craft: Research special equipment and upgrade your boat’s capabilities to gain access to rare fish and valuable deep-sea curios. Fish to Survive: Sell your discoveries to the locals to learn more about each area, and upgrade your boat to reach even more secluded locations. Fight the Unfathomable: Strengthen your mind and use your abilities to survive trips out on the water after dark."
Inside the Backrooms,"Adventure, Indie, Early Access","DESCRIPTION Inside the Backrooms is a Co-op online horror game up to 4 players, where you and your friends will fight to escape from the different levels of the backrooms, solving different puzzles with different mechanics in each one. This game is based on the famous creepypasta with many real references implemented such as iconic entities and important elements. You will have to explore each room, look for elements that help you to continue advancing throughout the game and unlock new areas, but the further you go, more dangerous it will be, you must pay close attention in the area, identify each entity and know how to avoid them if you want to survive. Look for supplies, store them in your inventory, explore all the rooms, solve puzzles, unlock areas of the map, interact, try to collect everything you find. The main objective of Inside the Backrooms is to engage players with its gameplay, difficulty and atmosphere. There are countless identical rooms with an old, dirty carpet and pale yellowish walls, where at first glance it gives you a gloomy and bad feeling where you realize that it is not a safe place. LEVELS The game currently has 5 levels, each level is huge and is designed to be more difficult than the previous one and each one with different puzzles and mechanics. There are also 2 secret mini levels that will lead you to a secret ending.. ENTITIES In this game you will find several entities, currently 6 entities, all based on the original creepypasta, each entity will have different ways of attacking and manifesting, so it will be important to know it's behavior of each of these and avoid at all costs that several entities finds you at the same time, if this happens, you will have a bad time. PUZZLES Inside the Backrooms has a lot of diverse, interesting and entertaining puzzles, from simple ones to the complex and laborious, they are carefully elaborated with the purpouse of being solved both individually and cooperatively, in addition to this, to make the puzzles more dynamic and attractive, in each new game the solution of all of them changes, which means that it wont be always the same answer! so test your puzzle resolution skills and try to escape from this terrifying place full of mysteries. ITEMS If you want to survive in the backrooms you will need to look for essential items and manage them properly, because if you get short of any of them, it could mean your death. These are some of the items you can find on your journey through the backrooms: Almond Water: Regenerate part of life. Pills: Eliminate Anxiety Radios: Allows communication at a distance with your team Flashlight: Allows you to see in dark areas. Protection Suit: Allows you to prevent getting radiation on some areas. Documents and Notes: Provides relevant information. FEATURES Here are some of the current features of the game: Proximity Voice Chat: Talk to the nearest people using the voice chat, but be careful, some entities could hear you... Stamina: The player will have limited stamina that you will need to manage correctly, if an entity is close to you, it will be your best ally to escape. Inventory: You will be able to take various items and store them in your inventory, however, space is limited. Anxiety: When you see an entity, your state of anxiety will increase, going through a disorder of fear and poor visibility. Entities: Each entity has its own attack modes, learn their techniques to evade them. Respawn: The game incorpore a creative and dynamic way to respawn, you will able to respawn up to 3 times. DEVELOPMENT ROADMAP We want to keep improving the game, to the point where it becomes one of the best games that represent backroom creepypasta. For this reason we will continue to polishing and adding new content to the game, these are some features that are planned to be added throughout the final development of the game: New Entities More Levels New Puzzles and Mechanics Procedural Levels New Items Improve Gameplay Language Localization"
Demonologist,"Action, Adventure, Indie","Demonologist is a Co-Op horror game that can be played with at least 1 and up to 4 players. Your goal is to identify the type of evil spirit in cursed places and exorcise it using your equipment, either alone or with your team. The best graphics in the co-op horror genre you'll ever play. Developed with Unreal Engine 5. You will encounter random events and ghosts in every game. Besides talking to ghosts, be careful what you speak, cursed places will react accordingly(One word you say can open a secret door). You will be able to invite other people to your safe house and you will be able to select paranormal places to play. You will have a showcase where you can show your achievements. With the money you earn, you can improve your safe house or buy a new safe house. You can buy a pet that will stand with you in the safe house. Multiple maps and equipment to play with. Daily and weekly tasks. Unique events & missions on special dates."
Bright Memory,"Action, Adventure, Indie","Bright Memory is a lightning-fast fusion of the FPS and action genres, created by one-man development studio FYQD using Unreal Engine. Combine a wide variety of skills and abilities to unleash dazzling combo attacks. SRO (Supernatural Science Research Organization) agent Shelia's adventure is about to begin. This game depicts the maiden adventure of a woman named Shelia in the year 2020. The 1000-year-old relic swords known as ""Kanshou and Bakuya"", discovered through SRO research, have been found to comprise a unique multilayered structure, containing a mysterious substance in their cores. This substance, known as the ""Soul of Jiu Xuan"", possesses the ability to reanimate the dead. In an attempt to take possession of the substance, the ""SAI"" - a massive terrorist organization controlling its own army - has used a cutting-edge piece of technology known as a ""Quantum Transporter"" to infiltrate the SRO research facility and steal top-secret and incredibly dangerous data. To make matters worse, while attempting to calibrate coordinates on the Quantum Transporter, Shelia mistakenly activates the device, immediately transporting everyone in the vicinity to the Floating Island - an airborne continent near the North Pole, undisturbed in its slumber for over 1000 years. It is soon discovered that the various beasts and corpses of those who once populated the island have been reanimated by the ""Soul of Jiu Xuan"", and they're coming for Shelia... Game Features Rack up points and enhance your various skills to freely create your own original combinations Employing an FPS-style POV, discover and solve the various puzzles throughout each stage to advance A mesmerizingly beautiful world combining science fiction and Chinese culture and created using Unreal Engine 4 Main Characters Shelia: Hannah Grace The female main character. 21 years old. Her parents were in the military. After losing both parents in a sudden tragic accident at the age of six, she was raised by Professor Richard Carter, founder of the SRO. Having spent years undergoing various types of military training and shining among her peers in virtually every field, her near-superhuman abilities landed her a spot as a member of the ultra-elite ""SRO Emergency Inspection Team"". Carter: Jack Merluzzi Founder of the SAI. Male, 35 years old. Taking advantage of his influential status, he struck it rich by buying and selling vast numbers of ancient artifacts on the black market. After learning of the existence of the ""Soul of Jiu Xuan"", he immediately infiltrated the SRO in an attempt to steal top-secret data."
DEATH STRANDING DIRECTOR'S CUT,"Action, Adventure","DEATH STRANDING Upgrade Please make sure you purchase right version of DEATH STRANDING DIRECTOR'S CUT. If you already own DEATH STRANDING then you can upgrade your version of the game to DEATH STRANDING DIRECTOR'S CUT for a lower price. Please purchase the DEATH STRANDING DIRECTOR'S CUT UPGRADE. You must have previously purchased DEATH STRANDING on this platform, and have it installed on your system. If you have not purchased DEATH STRANDING then you may purchase DEATH STRANDING DIRECTOR'S CUT at the stated full price. We recommend you do not remove DEATH STRANDING from your PC until you have completed the download of DEATH STRANDING DIRECTOR’S CUT and you have transferred your save files to DEATH STRANDING DIRECTOR’S CUT. About the Game From legendary game creator Hideo Kojima comes a genre-defying experience, now expanded in this definitive DIRECTOR’S CUT. In the future, a mysterious event known as the Death Stranding has opened a doorway between the living and the dead, leading to grotesque creatures from the afterlife roaming the fallen world marred by a desolate society. As Sam Bridges, your mission is to deliver hope to humanity by connecting the last survivors of a decimated America. Can you reunite the shattered world, one step at a time? DEATH STRANDING DIRECTOR’S CUT on PC includes HIGH FRAME RATE, PHOTO MODE and ULTRA-WIDE MONITOR SUPPORT. Also includes cross-over content from Valve Corporation’s HALF-LIFE series and CD Projekt Red’s Cyberpunk 2077. Stay connected with players around the globe with the Social Strand System™. All copies of the game will also additionally include: • “Selections From ‘The Art of DEATH STRANDING’” Digital Book (by Titan Books) • Backpack Patches • Bridges Special Delivery Team Suit (Gold) • BB pod customization (Chiral Gold) • Power Gloves (Gold) • Bridges Special Delivery Team Suit (Silver) • BB pod customization (Omnireflector) • Power Gloves (Silver)"
How to Survive,"Action, Adventure, RPG","Special Offer How to Survive 2 on Early Access is available now! Also remember that if you own How to Survive 1 there is special gift waiting for you! Survivor Loyalty Item: “Primal Fear” Armor Set. If you are already a survivor who’s got How to Survive or How to Survive: Third Person Standalone on Steam , we welcome you back with a very special treat: the “Primal Fear” armor set! A set of protective gear finely crafted out of the best bones and scrap metal that can be found in the dumpster. Made by master Survivalist Kovac himself, it promises to keep bites and scratches to a minimum while displaying a distinctive Swamp-chic style! Join Early Access now, slip it on and knock’em dead! About the Game “ A real Gem ” – Destructoid at E3 “ Offers a different experience for zombie game veterans ” – Co-Optimus “ Has a lot more going for it than smashing brains and gory, red goo ... With a surprisingly deep crafting system ” – GamesRadar You're shipwrecked on an isolated island, a desperate castaway in a total freakshow world. How will you survive? Collect the pages of a Survival Guide and figure it out, of course! Find food, water, and shelter before you perish. Uh oh, is it getting dark? Figure out how to get through the night! While you’re at it, gather up some of this awesome stuff and piece together over 100 handmade weapons and tools —from shotguns to Molotov cocktails. Now you can defend yourself and your friends like a boss! • Choose one of the three playable characters, each with different characteristics and skill trees . • Explore four islands filled with unique flora and fauna and a variety of abhorrent monstrosities. • Collect “Survival guide” video chapters to learn tips that will save your life! • Play with a friend offline through the story mode or go online and play with a friend through 8 demanding challenges. . • Try the “Iron Man” difficulty for a demanding hardcore game experience."
Wobbly Life,"Action, Adventure, Casual, Indie, Simulation","Grandma has kicked you out into the big wide Wobbly world demanding you go and GET A JOB! She would be so proud if you could earn some money and get your own house one day! It's time to start earning and living your best Wobbly Life ! 1-4 players Online and Local split-screen co-op Open-world sandbox filled with mini-games, toys, secrets +100 unique missions & jobs with exclusive rewards to unlock, alone or with friends +90 vehicles to ride around (and crash) +500 clothes items to show-off in your wobbly look Let's start exploring! Almost everything is interactive – grab, play, and experiment in a world filled with props, mini-games, and surprises. Experience the joy solo or share your adventures with up to 4 players in online or local co-op, all in one big Wobbly world. Embark on story missions, each offering unique rewards through fun puzzles and challenges. Unveil the mysteries of the tropical island, uncover the mountain’s secrets, delve into hidden caves... The Wobbly Museum has lost all its artifacts! Maybe you can help? Buy treasure maps and solve clues to find all the Museums' lost treasures and unlock exciting rewards. Make grandma happy and go get that job! Earn money by choosing from +20 exciting jobs, each bringing their new unique challenges. From pizza delivery to firefighting, taxi driver to disco dancer… your Wobbly dream job is waiting for you. The Wobbly Space Programme is looking for new recruits. Space is a whole new open world, with new jobs, missions, and secrets to uncover. You'll even get to fly your own spaceships too, so what are you waiting for! Once you’ve fattened up your bank account why not go on a shopping spree? Visit the Pet Shop to buy a faithful companion, buy and unlock +500 clothes items and choose from +90 different vehicles. When you’ve really made the big bucks, you can even buy a house: from a wooden cabin to a huge fancy mansion, Wobbly Island has a home for everyone! Want to take a break from Wobbly Island? Try out Arcade mode! Discover new game modes: Trash Zone, Hide & Seek, Wobble Run and Sandbox. Each have customizable settings for you to play with, multiple mini-games and new areas to have fun in! Create your own Wobbly Life Content and share it with players across the world in the Steam Workshop. Prefer to explore rather than create? Dive into an ever-growing library of creative wonders from our Wobbly community."
暖雪 Warm Snow,"Action, Adventure, Indie, RPG","Full game now available! Please feel free to leave us feedback in our community. Join our discord channel to get more information and chat with the devs: About the Game While the rich stinks of meat and wine, the bones of the poor litter the roadside.. Great injustice often leads to strange occurrences. Snow in July can only be remedied through blood. Join our discord channel to get more information and chat with the devs: 【A Dark Tale of Sword and Snow】 A strange phenomenon appeared during the 27th Year of the Longwu Era. Snow fell from the sky, which was warm rather than cold to the touch, and did not melt. People who breathed in the 'Warm Snow' lost their minds and became monsters. This phenomenon was later known as 'Warm Snow'. Embark on a journey as Warrior 'Bi-an' to search for the truth behind the 'Warm Snow' and put an end to the this never-ending darkness. 【Countless Combinations】 Six sects, varied Relics, unpredictable excaliburs, the game is full of Rogue-like elements which will keep each challenge in your journey fresh and unique. Each time you venture into the world would be a whole-new experience, pick your favorite playing style and challenge yourself. 【Thrilling Flying Sword System】 Perform critical destruction with swords that flicker between shadow and light. Control your flying swords with different attributes, attack modes and Relic boosts. 【Reincarnate and Collect the Fragments of Truth】 You decide how you will grow stronger! Boost your abilities with talent points that you can assign at will. The truth about this world is hidden in the randomly dropped 'Memory Fragments'. Are you ready to discover the secrets behind the Five Great Clans and reveal the truth of this world?"
SCARLET NEXUS,"Action, Adventure, RPG","Digital Deluxe Edition The Deluxe Edition includes the SCARLET NEXUS full game and Brain Punk Bundle, along with 2 bonuses. Ultimate Edition The Ultimate Edition includes the full game, Season Pass, Digital Artbook & Soundtrack, an Attire Set, an Additional Attachment, and Plug-ins. About the Game In the far distant future, a psionic hormone was discovered in the human brain, granting people extra-sensory powers and changed the world as we knew it. As humanity entered this new era, deranged mutants known as Others began to descend from the sky with a hunger for human brains. Highly resistant to conventional attack methods, extreme measures needed to be taken to battle the overwhelming threat and preserve humanity. Those with acute extra-sensory abilities, known as psionics, were our only chance to fight the onslaught from above. Since then, psionics have been scouted for their talents and recruited to the Other Suppression Force (OSF), humanity’s last line of defense. Featuring a dual story, begin your adventure with either Yuito Sumeragi, an energetic recruit from a prestigious political family or Kasane Randall, the mysterious scout whose power and skill has gained great notoriety among the OSF. As their different experiences interweave with each other, it is only then that you will reveal the full story and unlock all the mysteries of a Brain Punk future caught between technology and psychic abilities in SCARLET NEXUS. Kinetic Psychic Combat – Using psycho-kinetic abilities, the world around you becomes your greatest weapon. Lift, break and throw pieces of your environment to build your attack combos and lay waste to your enemies. Exterminate the Others – Deranged mutants that descended from the sky, highly resistant to conventional attack methods and defenses. Tormented by the constant pain of their mutation, they seek brains of living organisms to calm their madness. Discover a Brain Punk future – Explore and protect a futuristic Japanese landscape that combines inspirations from classic anime and western science fiction. A Dual Story Experience – Dive into a complex story of bonds, courage and heroism, crafted by minds behind the iconic Tales of Vesperia."
Beholder,"Adventure, Indie, Strategy","Welcome to a grim dystopian future. A totalitarian State controls every aspect of private and public life. Laws are oppressive. Surveillance is total. Privacy is dead. You are the State-installed manager of an apartment building. Your daily routine involves making the building a sweet spot for tenants, who will come and go. However, that is simply a facade that hides your real mission... Your primary task is to covertly watch your tenants and eavesdrop on their conversations. You must BUG their apartments while they're away, SEARCH their belongings for whatever can threaten the authority of the State, and PROFILE them for your superiors. You must also REPORT anyone capable of violating the laws or plotting subversive activities against the State to the authorities. You are a cog in a totalitarian machine with your own family who also has needs. Do you cling to your humanity and cover up your tenants? Or do you survive by staying loyal to the regime? The choice is yours. You can report the suspicious activities of a father but orphan his children. Or you can withhold the details about his illegal activities and give him a chance to make things right? Or you can blackmail him to earn something your family. As you play the game, you'll interact with many characters and complete dozens of quests. You'll also make decisions that will affect the way the story unfolds. This will lead to one of several game endings - the ending you have earned!"
The Talos Principle,"Action, Adventure, Indie","As if awakening from a deep sleep, you find yourself in a strange, contradictory world of ancient ruins and advanced technology. Tasked by your creator with solving a series of increasingly complex puzzles, you must decide whether to have faith or to ask the difficult questions: Who are you? What is your purpose? And what are you going to do about it? Features: Overcome more than 120 immersive puzzles in a stunning world. Divert drones, manipulate laser beams and even replicate time to prove your worth - or to find a way out. Explore a story about humanity, technology and civilization. Uncover clues, devise theories, and make up your own mind. Choose your own path through the game's non-linear world, solving puzzles your way. But remember: choices have consequences and somebody's always watching you."
Super Animal Royale,"Action, Adventure, Casual, Indie, Massively Multiplayer, Free To Play","It’s a fight for furvival! Super Animal Royale is a 64-player, frenetic, top-down 2D battle royale where murderous animals fight tooth, claw, and machine gun across an abandoned safari park. Collect and customize your favorite critters and weapons, then put them to work in solo matches or team up as a squad of up to four players! With the free Super Animal World expansion, the island has become a living Social Hub where you can relax between matches, meet NPCs, take on story quests, and enjoy cozy activities like fishing, bug catching, and hamsterball racing before dropping back into your next fight to the death. Never return to the main menu, with everything you need available in-world. Key Features Survival of the Fittest: Scavenge a variety of powerful weapons, armor and items to become the apex predator in intense 64-player online matches. The Superest World: Explore a massive, beautifully illustrated 2D island and discover its hidden lore, by chatting with its inhabitants and scouring its rich environments for clues. Different Stripes for Different Fights: Collect hundreds of animal breeds and customize them with thousands of cosmetic items, weapons, outfits, and even umbrellas! Evolving Events & Updates: Enjoy an endless stampede of new content, including seasonal outfits, animals, and weapons to collect. The Fast and the Furriest: Flatten your foes while rolling dirty in a Hamster Ball, or mount a Giant Emu and peck your way to the promised land. Battle Beyond Royale: infect or be infected by The Cluckles in The Bwoking Dead, or join SAW Security Forces and SASR rebels to capture and control flags in SAW vs Rebellion, a control point mode. Cozy Life Between the Chaos: relax and explore Super Animal World with friends between rounds, with seamless matchmaking between the Social Hub and competitive modes, then respawn back to continue the Circle of Super Life."
Alan Wake's American Nightmare,"Action, Adventure","In this brand new standalone experience, Alan Wake fights the herald of darkness, the evil Mr. Scratch! A thrilling new storyline, hordes of creepy enemies, serious firepower and beautiful Arizona locations, combined with a fun and challenging new game mode make this a must for Alan Wake veterans, and the perfect jumping on point for new players! Key Features: Play the full-fledged Story Mode: You’ll be on the edge of your seat as you fight to stop your murderous evil double to take back your life... and change reality itself! Fight till dawn arcade mode: In the action-packed Arcade Mode, you’ll need to master the Fight with Light mechanic to stay alive until dawn and beat your friends on the Leaderboards. Can you survive until sunrise? Face the darkness: Twisted and dangerous enemies stalk you in the shadows. Dispatch them with the powerful arsenal of weapons at your disposal."
Baldur's Gate II: Enhanced Edition,"Adventure, RPG","The Classic Adventure Continues Baldur's Gate II: Enhanced Edition is the beloved RPG classic, enhanced for modern adventurers. Continue a journey started in Baldur's Gate: Enhanced Edition , or customize a new hero to forge your path. Campaign Content The Enhanced Edition includes the original Shadows of Amn campaign, the Throne of Bhaal expansion, plus brand new challenges in the Black Pits II arena! Classic Campaign: The Original Shadows of Amn Adventure Expansion: Throne of Bhaal New Challenges: The Black Pits II: Gladiators of Thay, arena style battles New Difficulty Setting: Story Mode allows players to focus on story and exploration, rather than combat and survival Epic Characters 11 Playable Classes plus dozens of subclasses Recruit Classic Characters like Minsc and his brave hamster, Boo! 5 New NPCs: Neera the Wild Mage, Dorn Il-Khan the Blackguard, Rasaad yn Bashir the Monk, Hexxat the Thief, and Wilson the Bear New player voice sets to customize your hero Upload Characters from Baldur’s Gate: Enhanced Edition , or forge ahead with a brand new hero Classic Gameplay 2-D isometric graphics Real-time-with-pause combat Adapts 2nd Edition Dungeons & Dragons Rules Enhanced for Modern Platforms Hundreds of bug fixes and improvements to the original game Native support for high-resolution widescreen displays Cross-play multiplayer support for Windows, Linux, and macOS A Story-Rich RPG Kidnapped. Imprisoned. Tortured. The wizard Irenicus holds you captive in his stronghold, attempting to strip you of the powers that are your birthright. Can you resist the evil in your blood and forsake the dark destiny that awaits you? Or will you embrace your monstrous nature and ascend to godhood as the new Lord of Murder?"
Bless Online,"Action, Adventure, Free To Play, Massively Multiplayer, RPG","“We invite you all to the world of Bless Online!” Explore the beautiful and breathtaking open world! Face diverse challenges! Join group battles to decide the fate of huge wars while earning rewards! Experience the endless possibilities of Bless Online now! 7 Distinct Races & 5 Unique Classes Take the first steps in creating your character by selecting your character’s class and race! Experience the wide variety in skills, combat styles, and lore with each option. Race: Class: Production and Crafting With a variety of crafting skills including weaponry, armor, handiwork, enchantment, alchemy, and cooking, players can pursue whatever aspect of production sparks their imagination. Dungeons Challenge yourself with dungeons of varying scale and difficulty! Battle bosses and monsters on your path to glory! Discover the special dungeon where players can obtain rare plants and minerals. Field Battles & Raids Cooperate with other players or pit yourself against them as you fight terrifying bosses! Monsters in Bless aren’t just for fighting! The 660 unique tameable species can become useful allies through taming. Take part in the ongoing war between Hieron and Union! In everything from simple duels to 100v100 RvR battles, a player’s prowess will help build their reputation in the Bless world."
Darksiders Warmastered Edition,"Action, Adventure, RPG","Darksiders Warmastered Edition Features Support for up to 4k video output resolution Doubled all the texture resolutions Re-rendered all cutscenes in high quality Rendering improvements and rework Better shadow rendering quality Post processing effects Optimized framerate Wide Variety of Graphic Options (FOV, Postprocessing effects, Anti-Aliasing, Texture Filtering, Windowed/Fullscreen, etc.) Steam Trading Cards Native Steam Controller Support About the Game Deceived by the forces of evil into prematurely bringing about the end of the world, War – the first Horseman of the Apocalypse – stands accused of breaking the sacred law by inciting a war between Heaven and Hell. In the slaughter that ensued, the demonic forces defeated the heavenly hosts and laid claim to the Earth. Brought before the sacred Charred Council, War is indicted for his crimes and stripped of his powers. Dishonored and facing his own death, War is given the opportunity to return to Earth to search for the truth and punish those responsible. Hunted by a vengeful group of Angels, War must take on the forces of Hell, forge uneasy alliances with the very demons he hunts, and journey across the ravaged remains of the Earth on his quest for vengeance and vindication. Apocalyptic Power – Unleash the wrath of War, combining brutal attacks and supernatural abilities to decimate all who stand in your way Extreme Arsenal – Wield a devastating arsenal of angelic, demonic and Earthly weapons; and blaze a trail of destruction atop Ruin, War’s fiery phantom steed Epic Quest – Battle across the wastelands and demon-infested dungeons of the decimated Earth in your quest for vengeance and redemption Character Progression – Uncover powerful ancient relics, upgrade your weapons, unlock new abilities, and customize your gameplay style Battle Heaven and Hell – Battle against all who stand in your way - from war-weary angelic forces to Hell’s hideous demon hordes"
